#,Palabra, Nula[%], Baja[%] , Media[%], Alta[%], PFA,Categoría
1171,horror,0,0,10,90,0.966,Miedo
1172,horrorizado,0,0,30,70,0.898,Miedo
1173,horrorizante,0,0,30,70,0.898,Miedo
1174,horrorizar,0,0,30,70,0.898,Miedo
1175,horrorosamente,0,10,30,60,0.831,Miedo
1176,horroroso,0,10,20,70,0.865,Miedo
1177,huidizo,10,0,40,50,0.764,Miedo
1178,impotente,20,40,40,0,0.396,Miedo
1179,incertidumbre,0,80,20,0,0.396,Miedo
1180,indeciso,30,50,10,10,0.331,Miedo
1181,inquietantemente,20,20,50,10,0.496,Miedo
1182,inquietar,20,30,40,10,0.463,Miedo
1183,inquieto,20,60,10,10,0.364,Miedo
1184,insecto,40,40,10,10,0.298,Miedo
1185,inseguro,20,70,0,10,0.331,Miedo
1186,intimidación,0,30,50,20,0.629,Miedo
1187,intimidar,0,30,60,10,0.595,Miedo
1188,intrinquilo,10,40,40,10,0.496,Miedo
1189,lengüicorto,10,70,10,10,0.397,Miedo
1190,maldad,10,20,50,20,0.596,Miedo
1191,maligno,0,20,30,50,0.764,Miedo
1192,malo,10,10,50,30,0.663,Miedo
1193,medrana,0,10,40,50,0.797,Miedo
1194,medroso,0,10,30,60,0.831,Miedo
1195,mieditis,0,10,30,60,0.831,Miedo
1196,miedo,0,0,20,80,0.932,Miedo
1197,miedo ,0,0,20,80,0.932,Miedo
1198,miedoso,0,0,20,80,0.932,Miedo
1199,monstruosamente,0,10,40,50,0.797,Miedo
1200,monstruoso,0,10,30,60,0.831,Miedo
1201,mortuorio,0,20,30,50,0.764,Miedo
1202,mounstro,0,10,40,50,0.797,Miedo
1203,muerte,0,10,20,70,0.865,Miedo
1204,neblina,40,20,40,0,0.33,Miedo
1205,niebla,50,10,30,10,0.331,Miedo
1206,nublar,70,30,0,0,0.099,Miedo
1207,ominar,50,30,20,0,0.231,Miedo
1208,palidecer,10,40,30,20,0.53,Miedo
1209,palido,0,50,40,10,0.529,Miedo
1210,pánico,0,0,30,70,0.898,Miedo
1211,panteón,0,40,40,20,0.596,Miedo
1212,pávido,0,10,50,40,0.763,Miedo
1213,pavor,0,0,30,70,0.898,Miedo
1214,pavorosamente,0,0,50,50,0.83,Miedo
1215,pavoroso,0,0,50,50,0.83,Miedo
1216,pena,20,60,20,0,0.33,Miedo
1217,penumbra,20,20,50,10,0.496,Miedo
1218,poseído,10,20,40,30,0.63,Miedo
1219,premonición,20,60,20,0,0.33,Miedo
1220,preocupación,10,30,50,10,0.529,Miedo
1221,preocupadamente,10,30,40,20,0.563,Miedo
1222,preocupado,20,20,40,20,0.53,Miedo
1223,pusilánime,30,40,20,10,0.364,Miedo
1224,pusilanimidad,30,40,20,10,0.364,Miedo
1225,rata,40,50,10,0,0.231,Miedo
1226,recelo,20,30,20,30,0.531,Miedo
1227,receloso,20,30,30,20,0.497,Miedo
1228,rodeor,30,70,0,0,0.231,Miedo
1229,sangre,10,60,30,0,0.396,Miedo
1230,sangriento,10,40,40,10,0.496,Miedo
1231,sanguinario,10,10,60,20,0.629,Miedo
1232,satan,20,10,30,40,0.631,Miedo
1233,secuestro,0,30,10,60,0.765,Miedo
1234,sevicia,0,50,50,0,0.495,Miedo
1235,sobrecoger,0,10,60,30,0.729,Miedo
1236,sobrecogimiento,0,10,60,30,0.729,Miedo
1237,sobresaltar,0,10,60,30,0.729,Miedo
1238,sombra,30,60,10,0,0.264,Miedo
1239,suspenso,0,20,70,10,0.628,Miedo
1240,susto,0,0,40,60,0.864,Miedo
1241,temblor,10,20,60,10,0.562,Miedo
1242,temer,0,0,20,80,0.932,Miedo
1243,temerosamente,0,0,40,60,0.864,Miedo
1244,temeroso,0,0,30,70,0.898,Miedo
1245,temible,0,0,20,80,0.932,Miedo
1246,temor,0,0,20,80,0.932,Miedo
1247,temorosamente,0,0,40,60,0.864,Miedo
1248,tenso,0,60,30,10,0.496,Miedo
1249,terremoto,10,30,20,40,0.631,Miedo
1250,terrible,0,0,30,70,0.898,Miedo
1251,terriblemente,0,0,60,40,0.796,Miedo
1252,terror,0,0,10,90,0.966,Miedo
1253,terrorífico,0,0,30,70,0.898,Miedo
1254,tímidamente,0,40,40,20,0.596,Miedo
1255,timidez,10,50,20,20,0.497,Miedo
1256,tímido,10,50,10,30,0.531,Miedo
1257,timorato,10,30,20,40,0.631,Miedo
1258,tragedia,10,10,80,0,0.561,Miedo
1259,tremebundo,10,10,30,50,0.731,Miedo
1260,tremendo,20,20,30,30,0.564,Miedo
1261,ultimatum,20,70,10,0,0.297,Miedo
1262,ultratumba,0,30,40,30,0.663,Miedo
1263,verecundia,40,40,20,0,0.264,Miedo
1264,verecundio,40,40,20,0,0.264,Miedo
1265,verecundo,40,40,20,0,0.264,Miedo
1266,vergonzoso,20,40,40,0,0.396,Miedo
1267,vitando,30,30,30,10,0.397,Miedo
1268,abominablemente,0,20,40,40,0.73,Repulsión
1269,abominar,0,10,40,50,0.797,Repulsión
1270,aborrecer,0,0,10,90,0.966,Repulsión
1271,aborrecible,0,0,10,90,0.966,Repulsión
1273,aborrecimiento ,0,0,10,90,0.966,Repulsión
1274,abusar,10,10,40,40,0.697,Repulsión
1275,adversión ,30,10,40,20,0.497,Repulsión
1276,alergia ,30,30,30,10,0.397,Repulsión
1277,ampolla,30,10,40,20,0.497,Repulsión
1278,animadversión ,10,20,30,40,0.664,Repulsión
1279,animosidad ,40,30,30,0,0.297,Repulsión
1280,antipatía ,0,20,60,20,0.662,Repulsión
1281,antipático,0,0,80,20,0.728,Repulsión
1282,apestar,0,10,30,60,0.831,Repulsión
1283,apestoso,0,10,10,80,0.899,Repulsión
1284,aprensión ,10,30,50,10,0.529,Repulsión
1285,araña,20,30,50,0,0.429,Repulsión
1286,asco ,0,0,10,90,0.966,Repulsión
1287,asqueadamente,0,0,20,80,0.932,Repulsión
1288,asquear,0,0,20,80,0.932,Repulsión
1289,asquerosamente,0,0,10,90,0.966,Repulsión
1290,asqueroso,0,0,0,100,1,Repulsión
1291,astroso,10,10,60,20,0.629,Repulsión
1292,aversión,10,10,60,20,0.629,Repulsión
1293,basca,0,10,20,70,0.865,Repulsión
1294,bascosidad,0,20,20,60,0.798,Repulsión
1295,bascoso,10,20,30,40,0.664,Repulsión
1296,basura,0,0,60,40,0.796,Repulsión
1297,birria,30,50,10,10,0.331,Repulsión
1298,borracho,10,30,40,20,0.563,Repulsión
1299,caca,0,0,30,70,0.898,Repulsión
1300,carroña,0,0,40,60,0.864,Repulsión
1301,cicatriz,20,40,40,0,0.396,Repulsión
1302,coágulo,30,30,30,10,0.397,Repulsión
1303,cochino,0,40,50,10,0.562,Repulsión
1304,cocolía ,10,30,20,40,0.631,Repulsión
1305,contaminar,0,40,30,30,0.63,Repulsión
1306,corromper,10,20,50,20,0.596,Repulsión
1307,cortar,70,10,20,0,0.165,Repulsión
1308,desagradable,0,0,30,70,0.898,Repulsión
1309,desagradablemente,0,10,30,60,0.831,Repulsión
1310,desagrado,0,20,20,60,0.798,Repulsión
1311,desasosegar,50,20,20,10,0.298,Repulsión
1312,descomposicón,0,10,50,40,0.763,Repulsión
1313,deshonrar,0,40,30,30,0.63,Repulsión
1314,desperdicio,0,40,50,10,0.562,Repulsión
1315,detestable,0,0,10,90,0.966,Repulsión
1316,detestablemente,0,0,20,80,0.932,Repulsión
1317,detestación,0,0,20,80,0.932,Repulsión
1318,diarrea,0,30,30,40,0.697,Repulsión
1319,disgustar,10,10,70,10,0.595,Repulsión
1320,disgusto,10,10,70,10,0.595,Repulsión
1321,distanciamiento,30,30,40,0,0.363,Repulsión
1322,empalagamiento,30,40,30,0,0.33,Repulsión
1323,empalagar,30,40,30,0,0.33,Repulsión
1324,empalagoso,30,30,40,0,0.363,Repulsión
1325,emporcar,0,30,60,10,0.595,Repulsión
1326,enfermedad,20,30,40,10,0.463,Repulsión
1327,enfermizo,20,20,50,10,0.496,Repulsión
1328,enfermo,20,20,30,30,0.564,Repulsión
1329,ensuciar,0,20,60,20,0.662,Repulsión
1330,envilecer,10,0,30,60,0.798,Repulsión
1331,escrúpulo ,30,40,30,0,0.33,Repulsión
1332,espanto,50,20,30,0,0.264,Repulsión
1333,estiércol,0,20,40,40,0.73,Repulsión
1334,excremento ,0,20,20,60,0.798,Repulsión
1335,execrable,0,10,50,40,0.763,Repulsión
1336,execrablemente,0,10,50,40,0.763,Repulsión
1337,fastidiar,10,40,30,20,0.53,Repulsión
1338,fastidio,10,30,30,30,0.597,Repulsión
1339,fétido,0,0,30,70,0.898,Repulsión
1340,fila ,50,20,0,30,0.366,Repulsión
1341,fobia ,10,10,50,30,0.663,Repulsión
1342,gases,0,30,40,30,0.663,Repulsión
1343,gelatinoso,30,70,0,0,0.231,Repulsión
1344,grima,0,30,50,20,0.629,Repulsión
1345,guácala,0,0,10,90,0.966,Repulsión
1346,gusano,20,20,60,0,0.462,Repulsión
1347,harto,20,30,30,20,0.497,Repulsión
1348,hastiar,10,20,50,20,0.596,Repulsión
1349,hastío,10,30,40,20,0.563,Repulsión
1350,hediondo,0,0,40,60,0.864,Repulsión
1351,herida,30,40,30,0,0.33,Repulsión
1352,hincha ,10,20,30,40,0.664,Repulsión
1353,hinchado,30,10,20,40,0.565,Repulsión
1354,hongos,30,20,50,0,0.396,Repulsión
1355,horrendo,0,30,20,50,0.731,Repulsión
1356,horrible,0,20,30,50,0.764,Repulsión
1357,horripilación,0,30,30,40,0.697,Repulsión
1358,horror,0,20,30,50,0.764,Repulsión
1359,horroroso,0,20,30,50,0.764,Repulsión
1360,hostil,30,20,20,30,0.498,Repulsión
1361,impúdico,20,20,50,10,0.496,Repulsión
1362,impuro,10,30,30,30,0.597,Repulsión
1363,incasto,30,20,40,10,0.43,Repulsión
1364,indecente,10,20,40,30,0.63,Repulsión
1365,indecoroso,20,10,50,20,0.563,Repulsión
1366,indisponer,30,40,20,10,0.364,Repulsión
1367,infame,10,20,40,30,0.63,Repulsión
1368,infección,20,30,20,30,0.531,Repulsión
1369,infecto,0,40,20,40,0.664,Repulsión
1370,infrahumano,30,30,20,20,0.431,Repulsión
1371,inframundo,10,30,30,30,0.597,Repulsión
1372,injuriante,30,20,20,30,0.498,Repulsión
1373,injuriar,10,30,30,30,0.597,Repulsión
1374,injurioso,10,30,30,30,0.597,Repulsión
1375,inmoral,20,20,20,40,0.598,Repulsión
1376,inmundo,0,0,20,80,0.932,Repulsión
1377,inquina ,10,30,10,50,0.665,Repulsión
1378,insubordinar,30,50,0,20,0.365,Repulsión
1379,insultante,10,0,50,40,0.73,Repulsión
1380,insulto,10,0,40,50,0.764,Repulsión
1381,insurrección,50,20,30,0,0.264,Repulsión
1382,insurreccionar,50,20,30,0,0.264,Repulsión
1383,intranquilo,70,20,10,0,0.132,Repulsión
1384,lepra,10,10,20,60,0.765,Repulsión
1385,licencioso,10,20,40,30,0.63,Repulsión
1386,mal,20,20,20,40,0.598,Repulsión
1387,malasangre,0,20,20,60,0.798,Repulsión
1388,malquerencia ,0,20,20,60,0.798,Repulsión
1389,malvado,0,20,20,60,0.798,Repulsión
1390,mancha,10,40,40,10,0.496,Repulsión
1391,manía,30,60,10,0,0.264,Repulsión
1392,marrano,0,40,20,40,0.664,Repulsión
1393,mefítico,10,20,30,40,0.664,Repulsión
1394,moco,0,20,20,60,0.798,Repulsión
1395,mórbido,50,0,30,20,0.398,Repulsión
1396,morboso,0,20,40,40,0.73,Repulsión
1397,mosca,20,30,20,30,0.531,Repulsión
1398,mugre,0,40,0,60,0.732,Repulsión
1399,náusea,0,10,20,70,0.865,Repulsión
1400,nauseabundamente,0,10,30,60,0.831,Repulsión
1401,nauseabundo,0,10,20,70,0.865,Repulsión
1402,nausear,0,10,30,60,0.831,Repulsión
1403,náuseas,0,0,30,70,0.898,Repulsión
1404,nefasto,0,10,30,60,0.831,Repulsión
1405,obsceno,10,0,40,50,0.764,Repulsión
1406,odio ,0,20,30,50,0.764,Repulsión
1407,odiosamente,0,20,40,40,0.73,Repulsión
1408,odioso,0,20,30,50,0.764,Repulsión
1409,ofender,0,30,30,40,0.697,Repulsión
1410,ofensivo,0,30,30,40,0.697,Repulsión
1411,ojeriza ,0,20,60,20,0.662,Repulsión
1412,oponer,30,30,40,0,0.363,Repulsión
1413,orina,10,30,40,20,0.563,Repulsión
1414,patológico,50,20,10,20,0.332,Repulsión
1415,pecaminoso,20,40,20,20,0.464,Repulsión
1416,pedo ,0,10,20,70,0.865,Repulsión
1417,pérfido,10,20,0,70,0.766,Repulsión
1418,perinquina ,0,10,50,40,0.763,Repulsión
1419,perverso,10,20,20,50,0.698,Repulsión
1420,pervertir,10,20,20,50,0.698,Repulsión
1421,pésimo,0,40,30,30,0.63,Repulsión
1422,peste,0,0,40,60,0.864,Repulsión
1423,pestilente,0,0,40,60,0.864,Repulsión
1424,podrido,0,10,40,50,0.797,Repulsión
1425,podrir,0,20,30,50,0.764,Repulsión
1426,popo,0,10,40,50,0.797,Repulsión
1427,pornográfico,0,30,40,30,0.663,Repulsión
1428,procaz,20,30,10,40,0.565,Repulsión
1429,protervo,10,20,30,40,0.664,Repulsión
1430,puaf,70,10,20,0,0.165,Repulsión
1431,puercamente,0,0,40,60,0.864,Repulsión
1432,puerco,0,10,50,40,0.763,Repulsión
1433,pus,0,30,10,60,0.765,Repulsión
1434,putrefacción,0,10,20,70,0.865,Repulsión
1435,putrefacción,0,10,20,70,0.865,Repulsión
1436,putrido ,0,10,20,70,0.865,Repulsión
1437,rabia,0,10,50,40,0.763,Repulsión
1438,rastrero,20,20,30,30,0.564,Repulsión
1439,rata,20,30,20,30,0.531,Repulsión
1440,rechazamiento,10,20,30,40,0.664,Repulsión
1441,rechazar,0,20,40,40,0.73,Repulsión
1442,rechazo,0,20,50,30,0.696,Repulsión
1443,reherir,10,10,60,20,0.629,Repulsión
1444,rencor ,0,0,50,50,0.83,Repulsión
1445,repeler,0,30,30,40,0.697,Repulsión
1446,repelo ,10,20,30,40,0.664,Repulsión
1447,repudiable,0,0,30,70,0.898,Repulsión
1448,repudiar,0,0,30,70,0.898,Repulsión
1449,repudio,0,0,30,70,0.898,Repulsión
1450,repugnadamente,0,0,20,80,0.932,Repulsión
1451,repugnancia ,0,0,20,80,0.932,Repulsión
1452,repugnante,0,0,20,80,0.932,Repulsión
1453,repugnantemente,0,0,20,80,0.932,Repulsión
1454,repugnar,0,0,20,80,0.932,Repulsión
1455,repulsar,0,0,20,80,0.932,Repulsión
1456,repulsión ,0,0,10,90,0.966,Repulsión
1457,repulsivamente,0,0,0,100,1,Repulsión
1458,repulsivo,0,0,0,100,1,Repulsión
1459,rufián,0,30,30,40,0.697,Repulsión
1460,ruin,0,30,20,50,0.731,Repulsión
1461,sangre,30,40,20,10,0.364,Repulsión
1462,sangriento,10,40,40,10,0.496,Repulsión
1463,secreción,10,10,40,40,0.697,Repulsión
1464,sórdido,0,30,30,40,0.697,Repulsión
1465,submundo,20,40,10,30,0.498,Repulsión
1466,sucio,0,20,40,40,0.73,Repulsión
1467,tirria ,0,30,50,20,0.629,Repulsión
1468,tripas,10,50,30,10,0.463,Repulsión
1469,ultrajante,0,40,40,20,0.596,Repulsión
1470,usgo,0,30,10,60,0.765,Repulsión
1471,vejar,0,40,20,40,0.664,Repulsión
1472,vil,0,20,50,30,0.696,Repulsión
1473,víscera,10,30,20,40,0.631,Repulsión
1474,viscoso,20,40,20,20,0.464,Repulsión
1475,vomito,0,10,10,80,0.899,Repulsión
1476,zaherir,0,30,30,40,0.697,Repulsión
1477,zahiriente,0,30,20,50,0.731,Repulsión
1478,abierto,50,20,20,10,0.298,Sorpresa
1479,abobamiento,60,30,0,10,0.199,Sorpresa
1480,abobar,50,20,20,10,0.298,Sorpresa
1481,acertijo,20,30,20,30,0.531,Sorpresa
1482,acojonante,10,0,50,40,0.73,Sorpresa
1483,adivinanza,30,20,20,30,0.498,Sorpresa
1484,admirable,10,0,50,40,0.73,Sorpresa
1485,admirablemente,10,10,50,30,0.663,Sorpresa
1486,admiracion,20,0,40,40,0.664,Sorpresa
1487,admiración,10,0,40,50,0.764,Sorpresa
1488,admirar,10,0,50,40,0.73,Sorpresa
1489,agenciar,60,20,20,0,0.198,Sorpresa
1490,alcanzar,50,30,10,10,0.265,Sorpresa
1491,alelamiento,40,60,0,0,0.198,Sorpresa
1492,alelar,60,40,0,0,0.132,Sorpresa
1493,anonadamiento,10,10,20,60,0.765,Sorpresa
1494,anonadar,10,10,30,50,0.731,Sorpresa
1495,apoteósico,20,20,20,40,0.598,Sorpresa
1496,arrocinar,60,30,10,0,0.165,Sorpresa
1497,asombramiento,0,0,20,80,0.932,Sorpresa
1498,asombrar,0,0,10,90,0.966,Sorpresa
1499,asombro,0,0,10,90,0.966,Sorpresa
1500,asombrosamente,0,0,10,90,0.966,Sorpresa
1501,asombroso,0,0,10,90,0.966,Sorpresa
1502,atarantar,70,20,10,0,0.132,Sorpresa
1503,atolondrar,60,30,0,10,0.199,Sorpresa
1504,atónito,10,10,10,70,0.799,Sorpresa
1505,atontamiento,50,40,0,10,0.232,Sorpresa
1506,atontar,50,40,0,10,0.232,Sorpresa
1507,atrapar,30,10,50,10,0.463,Sorpresa
1508,atronar,50,30,10,10,0.265,Sorpresa
1509,aturdimiento,50,50,0,0,0.165,Sorpresa
1510,aturdir,50,50,0,0,0.165,Sorpresa
1511,aturrullar,60,30,10,0,0.165,Sorpresa
1512,aturullar,60,30,10,0,0.165,Sorpresa
1513,batir,90,0,10,0,0.066,Sorpresa
1514,bizco,60,10,20,10,0.265,Sorpresa
1515,bobalicón,80,20,0,0,0.066,Sorpresa
1516,bobo,70,30,0,0,0.099,Sorpresa
1517,bombo,40,30,20,10,0.331,Sorpresa
1518,boquiabierto,10,10,10,70,0.799,Sorpresa
1519,bruto,70,10,20,0,0.165,Sorpresa
1520,chasco,50,10,10,30,0.399,Sorpresa
1521,coger,20,30,50,0,0.429,Sorpresa
1522,confundir,30,60,10,0,0.264,Sorpresa
1523,confusión,30,60,10,0,0.264,Sorpresa
1524,conmoción,10,30,20,40,0.631,Sorpresa
1525,conmocionar,0,30,40,30,0.663,Sorpresa
1526,conseguir,40,20,40,0,0.33,Sorpresa
1527,consternación,20,30,40,10,0.463,Sorpresa
1528,consternar,30,20,40,10,0.43,Sorpresa
1529,conturbar,20,20,10,50,0.632,Sorpresa
1530,descomunalmente,0,20,20,60,0.798,Sorpresa
1531,desconcertar,10,20,30,40,0.664,Sorpresa
1532,desconcierto,20,10,30,40,0.631,Sorpresa
1533,descuidar,30,30,40,0,0.363,Sorpresa
1534,deslumbramiento,10,30,30,30,0.597,Sorpresa
1535,deslumbrantemente,0,40,20,40,0.664,Sorpresa
1536,deslumbrar,0,40,20,40,0.664,Sorpresa
1537,desmayar,10,40,30,20,0.53,Sorpresa
1538,desmayo,10,40,30,20,0.53,Sorpresa
1539,despampanante,10,10,0,80,0.833,Sorpresa
1540,despistar,40,30,30,0,0.297,Sorpresa
1541,desprevenido,0,10,80,10,0.661,Sorpresa
1542,distraído,30,10,50,10,0.463,Sorpresa
1543,embobamiento,60,40,0,0,0.132,Sorpresa
1544,embobar,70,30,0,0,0.099,Sorpresa
1545,embobecer,60,30,10,0,0.165,Sorpresa
1546,embrutecer,70,10,20,0,0.165,Sorpresa
1547,encandilar,10,30,30,30,0.597,Sorpresa
1548,enigma,30,10,20,40,0.565,Sorpresa
1549,enmudecer,20,0,40,40,0.664,Sorpresa
1550,entontecer,50,40,10,0,0.198,Sorpresa
1551,entontecimiento,70,30,0,0,0.099,Sorpresa
1552,espantar,0,10,30,60,0.831,Sorpresa
1553,espanto,0,10,30,60,0.831,Sorpresa
1554,estólido,70,30,0,0,0.099,Sorpresa
1555,estrellas,60,20,10,10,0.232,Sorpresa
1556,estruendo,20,30,30,20,0.497,Sorpresa
1557,estupefacción,10,0,30,60,0.798,Sorpresa
1558,estupefacto,0,10,10,80,0.899,Sorpresa
1559,estupendamente,10,20,30,40,0.664,Sorpresa
1560,estupendo,10,20,20,50,0.698,Sorpresa
1561,estúpido,70,30,0,0,0.099,Sorpresa
1562,estupor,0,30,10,60,0.765,Sorpresa
1563,exclamación,30,10,40,20,0.497,Sorpresa
1564,extrañar,50,40,10,0,0.198,Sorpresa
1565,extrañeza,20,40,20,20,0.464,Sorpresa
1566,extraordinario,20,10,20,50,0.665,Sorpresa
1567,fabuloso,10,30,30,30,0.597,Sorpresa
1568,fantásticamente,0,20,50,30,0.696,Sorpresa
1569,fantástico,0,10,50,40,0.763,Sorpresa
1570,fascinacion,10,10,50,30,0.663,Sorpresa
1571,fascinante,0,20,40,40,0.73,Sorpresa
1572,frustrar,70,10,20,0,0.165,Sorpresa
1573,golpe,60,10,20,10,0.265,Sorpresa
1574,grandioso,10,20,40,30,0.63,Sorpresa
1575,gritar,0,40,60,0,0.528,Sorpresa
1576,grito,0,40,60,0,0.528,Sorpresa
1577,horrible,10,50,40,0,0.429,Sorpresa
1578,idiotizar,70,30,0,0,0.099,Sorpresa
1579,imbécil,90,10,0,0,0.033,Sorpresa
1580,impactar,10,20,10,60,0.732,Sorpresa
1581,impresión,10,10,30,50,0.731,Sorpresa
1582,impresionante,0,10,10,80,0.899,Sorpresa
1583,impresionar,0,10,20,70,0.865,Sorpresa
1584,inaudito,0,10,10,80,0.899,Sorpresa
1585,increible,0,0,10,90,0.966,Sorpresa
1586,increíblemente,0,10,10,80,0.899,Sorpresa
1587,inepto,80,20,0,0,0.066,Sorpresa
1588,interrogante,40,40,10,10,0.298,Sorpresa
1589,interrogar,30,50,10,10,0.331,Sorpresa
1590,intrigar,20,30,50,0,0.429,Sorpresa
1591,lelo,80,20,0,0,0.066,Sorpresa
1592,llegar,60,30,10,0,0.165,Sorpresa
1593,llevar,70,20,10,0,0.132,Sorpresa
1594,macanudo,0,20,40,40,0.73,Sorpresa
1595,maravilla,0,10,10,80,0.899,Sorpresa
1596,maravillar,0,0,30,70,0.898,Sorpresa
1597,maravillosamente,0,0,20,80,0.932,Sorpresa
1598,maravilloso,0,0,10,90,0.966,Sorpresa
1599,miedo,30,50,20,0,0.297,Sorpresa
1600,milagro,0,20,30,50,0.764,Sorpresa
1601,mirífico,0,10,0,90,0.933,Sorpresa
1602,misterio,40,30,20,10,0.331,Sorpresa
1603,mistificar,70,20,10,0,0.132,Sorpresa
1604,mudo,60,20,20,0,0.198,Sorpresa
1605,nefando,80,20,0,0,0.066,Sorpresa
1606,noqueado,30,50,20,0,0.297,Sorpresa
1607,noquear,40,50,10,0,0.231,Sorpresa
1608,obtuso,80,20,0,0,0.066,Sorpresa
1609,ofuscar,40,40,20,0,0.264,Sorpresa
1610,pasmar,20,10,40,30,0.597,Sorpresa
1611,pasmo,40,20,20,20,0.398,Sorpresa
1612,pasmosamente,30,30,20,20,0.431,Sorpresa
1613,pasmoso,20,20,30,30,0.564,Sorpresa
1614,perplejidad,10,10,30,50,0.731,Sorpresa
1615,perplejo,0,20,30,50,0.764,Sorpresa
1616,portento,0,20,50,30,0.696,Sorpresa
1617,portentosamente,20,0,50,30,0.63,Sorpresa
1618,portentoso,0,20,50,30,0.696,Sorpresa
1619,preguntar,40,60,0,0,0.198,Sorpresa
1620,prodigiosamente,10,20,50,20,0.596,Sorpresa
1621,prodigiosidad,10,30,40,20,0.563,Sorpresa
1622,prodigioso,0,30,50,20,0.629,Sorpresa
1623,quedar,50,0,50,0,0.33,Sorpresa
1624,quimérico,30,40,20,10,0.364,Sorpresa
1625,quisicosa,40,20,40,0,0.33,Sorpresa
1626,recibir,30,40,20,10,0.364,Sorpresa
1627,repente,10,20,40,30,0.63,Sorpresa
1628,repentino,0,20,50,30,0.696,Sorpresa
1629,rompecabezas,70,30,0,0,0.099,Sorpresa
1630,shock,10,20,30,40,0.664,Sorpresa
1631,shoqueado,10,10,30,50,0.731,Sorpresa
1632,sobrecoger,40,10,40,10,0.397,Sorpresa
1633,sobrecogimiento,40,10,30,20,0.431,Sorpresa
1634,sobresalto,30,10,20,40,0.565,Sorpresa
1635,sonso,80,20,0,0,0.066,Sorpresa
1636,sorprendente,0,0,10,90,0.966,Sorpresa
1637,sorprendentemente,0,0,20,80,0.932,Sorpresa
1638,sorprender,0,0,10,90,0.966,Sorpresa
1639,sorpresa,0,0,10,90,0.966,Sorpresa
1640,sorpresivamente,0,0,10,90,0.966,Sorpresa
1641,sorpresivo,0,0,10,90,0.966,Sorpresa
1642,subito,10,0,70,20,0.662,Sorpresa
1643,suspenso,10,30,50,10,0.529,Sorpresa
1644,susto,0,30,40,30,0.663,Sorpresa
1645,tambaleante,60,40,0,0,0.132,Sorpresa
1646,tambalear,60,40,0,0,0.132,Sorpresa
1647,titubeante,70,30,0,0,0.099,Sorpresa
1648,titubear,70,30,0,0,0.099,Sorpresa
1649,traspiés,90,10,0,0,0.033,Sorpresa
1650,tremendo,20,30,50,0,0.429,Sorpresa
1651,zonzo,80,20,0,0,0.066,Sorpresa
1652,zopenco,80,20,0,0,0.066,Sorpresa
1653,abajamiento,20,30,30,20,0.497,Tristeza
1654,abajo ,20,60,10,10,0.364,Tristeza
1655,abandonamiento,0,10,20,70,0.865,Tristeza
1656,abandonar,0,0,30,70,0.898,Tristeza
1657,abatidamente,0,20,10,70,0.832,Tristeza
1658,abatido,0,10,20,70,0.865,Tristeza
1659,abatimiento,0,20,20,60,0.798,Tristeza
1660,abatir,0,30,10,60,0.765,Tristeza
1661,abochornar,50,20,30,0,0.264,Tristeza
1662,abrumar ,30,20,40,10,0.43,Tristeza
1663,aburrir,30,60,10,0,0.264,Tristeza
1664,aciago,10,30,40,20,0.563,Tristeza
1665,acongojar,0,0,60,40,0.796,Tristeza
1666,acuitadamente,0,70,20,10,0.463,Tristeza
1667,acuitar,0,40,50,10,0.562,Tristeza
1668,adolecer,0,50,30,20,0.563,Tristeza
1669,adverso,30,20,30,20,0.464,Tristeza
1670,aflicción,0,20,30,50,0.764,Tristeza
1671,afligidamente,0,0,50,50,0.83,Tristeza
1672,afligido,0,0,50,50,0.83,Tristeza
1673,afligir,0,0,60,40,0.796,Tristeza
1674,agobiado,0,20,30,50,0.764,Tristeza
1675,agobiante,0,20,40,40,0.73,Tristeza
1676,agobiantemente,0,20,40,40,0.73,Tristeza
1677,agobiar,0,30,30,40,0.697,Tristeza
1678,agraviar,30,50,10,10,0.331,Tristeza
1679,aguantar,30,40,20,10,0.364,Tristeza
1680,aherrojar,50,40,10,0,0.198,Tristeza
1681,ahogo,10,50,30,10,0.463,Tristeza
1682,alicaído,20,40,20,20,0.464,Tristeza
1683,aliquebrado,10,50,20,20,0.497,Tristeza
1684,alma,50,50,0,0,0.165,Tristeza
1685,amargo,40,40,20,0,0.264,Tristeza
1686,amargura,20,0,80,0,0.528,Tristeza
1687,amurriar,10,10,40,40,0.697,Tristeza
1688,angustia,0,10,50,40,0.763,Tristeza
1689,angustiadamente,0,30,30,40,0.697,Tristeza
1690,angustiar,0,10,60,30,0.729,Tristeza
1691,angustioso,0,10,50,40,0.763,Tristeza
1692,aniquilar ,0,70,20,10,0.463,Tristeza
1693,añicos,0,70,20,10,0.463,Tristeza
1694,apabullar ,10,50,40,0,0.429,Tristeza
1695,apenar,20,50,20,10,0.397,Tristeza
1696,apiadarse,30,20,30,20,0.464,Tristeza
1697,aplanar ,70,20,0,10,0.166,Tristeza
1698,aplastar,60,20,10,10,0.232,Tristeza
1699,aquejar,20,30,30,20,0.497,Tristeza
1700,arrastradamente,40,30,30,0,0.297,Tristeza
1701,arrastrar,60,20,20,0,0.198,Tristeza
1702,arrepentimiento,10,40,50,0,0.462,Tristeza
1703,arrepentir,10,40,50,0,0.462,Tristeza
1704,asolar,10,40,30,20,0.53,Tristeza
1705,atormentadamente,10,40,40,10,0.496,Tristeza
